predecessor_id,successor_id,type
29,33,1
29,45,1
0,75,1
1,39,1
3,39,3
3,9,1
3,11,1
36,89,3
36,83,1
74,75,1
2,3,3
4,48,1
59,61,0
59,60,3
44,69,1
96,97,1
85,87,3
85,86,3
5,75,1
5,47,3
6,67,1
7,37,1
58,59,3
45,91,3
45,48,1
45,47,1
45,46,3
45,69,1
8,31,1
76,77,1
76,82,1
10,27,1
78,79,1
20,22,1
20,21,1
69,71,1
69,70,3
12,88,0
64,81,1
13,78,0
14,98,1
15,31,1
16,17,1
18,91,1
19,20,3
63,64,1
41,42,1
41,90,1
42,75,1
42,43,1
47,80,1
81,82,1
77,78,1
75,76,1
60,69,3
55,56,3
55,79,3
23,26,1
43,44,0
43,55,3
43,45,3
24,43,1
24,30,3
25,26,1
27,68,1
28,29,1
30,39,1
87,88,1
31,69,0
32,93,1
33,87,0
34,63,1
98,99,1
35,36,1
50,86,3
38,52,1
54,55,3
37,38,1
57,58,1
56,57,3
73,74,1
40,41,1
49,50,0
51,70,3
53,54,1
62,63,1
65,66,3
68,69,1
72,73,3
80,81,1
84,85,1
89,90,1
92,93,1
94,98,1
94,95,1
94,96,1
