resource_name,assignment_ids
Resource 0,47;51;37;27;55;99;32
Resource 1,95;48;101;35;73;53
Resource 2,72;60;69;40;36;75
Resource 3,2;91;4;34;16;78
Resource 4,22;57;33;58;54;6
Resource 5,44;61;94;24;38;81
Resource 6,46;23;18;67;15;59
Resource 7,65;39;20;80;43;96
Resource 8,26;85;9;19;11;12
Resource 9,92;89;7;29;31;74
Resource 10,100;64;97;8;1;76
Resource 11,87;10;0;98;79;56
Resource 12,28;83;84;62;50;25
Resource 13,14;86;66;90;13;88
Resource 14,52;63;93;5;102;71
Resource 15,70;68;21;77;17;42
Resource 16,49;3;82;41;30;45
