resource_name,assignment_ids
Resource 0,14;122;3;99;57;63;75;15
Resource 1,9;113;110;98;58;69;18;42
Resource 2,62;4;27;52;108;119;92;91
Resource 3,112;21;36;67;5;37;74;106
Resource 4,47;8;86;101;96;35;81;85
Resource 5,65;82;34;79;40;22;12
Resource 6,25;83;16;13;50;11;45
Resource 7,17;94;10;114;43;38;70
Resource 8,30;23;39;54;107;109;73
Resource 9,48;87;28;56;2;95;120
Resource 10,93;33;32;59;7;117;1
Resource 11,0;53;29;66;51;6;97
Resource 12,115;105;76;20;61;77;55
Resource 13,121;71;41;46;60;103;49
Resource 14,116;100;24;44;68;72;78
Resource 15,118;88;104;26;102;111;84
Resource 16,89;90;123;80;19;64;31
