resource_name,assignment_ids
Resource 0,70;135;44;61;151;148;120;53;63
Resource 1,49;78;84;10;29;15;103;52
Resource 2,89;106;144;102;57;23;95;16
Resource 3,32;81;116;123;37;132;111;11
Resource 4,14;105;119;8;64;55;115;121
Resource 5,48;20;122;142;50;75;93;141
Resource 6,42;88;45;125;5;137;47;147
Resource 7,24;110;134;76;30;62;1;56
Resource 8,3;38;27;131;25;54;2;94
Resource 9,104;143;82;109;128;65;96;74
Resource 10,71;126;51;138;33;124;91;77
Resource 11,114;113;87;108;22;127;98;13
Resource 12,83;72;100;129;67;73;18;150
Resource 13,146;12;43;130;112;9;80;149
Resource 14,107;19;35;85;7;26;97;6
Resource 15,21;58;41;92;133;39;69;68
Resource 16,152;79;28;145;90;66;101;118
Resource 17,34;140;46;86;4;40;99;36
Resource 18,59;60;117;136;17;31;139;0
