resource_name,assignment_ids
Resource 0,94;134;17;123;76;14;51;132;82;92
Resource 1,96;10;121;32;95;113;129;85;12;73
Resource 2,119;116;147;122;68;115;143;106;149;25
Resource 3,83;152;18;88;46;30;156;45;60;56
Resource 4,48;107;111;108;146;157;21;139;87;6
Resource 5,27;142;135;19;141;34;86;31;101
Resource 6,74;1;38;109;41;70;43;9;125
Resource 7,127;61;8;36;40;136;66;63;155
Resource 8,77;103;4;144;37;151;114;55;23
Resource 9,39;133;93;5;110;99;117;24;50
Resource 10,78;67;100;42;154;54;72;75;52
Resource 11,148;20;140;98;71;102;16;137;112
Resource 12,28;53;150;89;58;81;84;145;33
Resource 13,104;7;120;138;59;128;80;153;91
Resource 14,130;44;105;62;3;47;64;118;15
Resource 15,65;0;90;49;69;2;13;79;11
Resource 16,22;29;126;35;57;131;26;97;124
