resource_name,assignment_ids
Resource 0,162;28;118;47;33;19;70;36;20;98;77
Resource 1,128;2;133;11;67;69;39;124;17;74;22
Resource 2,159;127;62;116;122;90;78;48;34;55;16
Resource 3,87;0;32;96;131;155;46;68;119;129;1
Resource 4,130;160;100;163;112;64;53;66;149;109
Resource 5,42;26;91;101;95;43;107;144;151;108
Resource 6,85;73;120;51;104;97;117;50;83;38
Resource 7,80;30;132;18;57;35;37;14;113;136
Resource 8,154;106;110;156;143;105;4;40;8;148
Resource 9,63;145;9;52;123;141;125;153;76;41
Resource 10,126;7;65;93;86;21;25;23;102;75
Resource 11,56;31;12;152;134;158;58;54;115;88
Resource 12,45;49;146;139;27;140;150;142;81;84
Resource 13,5;6;137;79;29;161;89;157;99;72
Resource 14,10;71;24;82;138;92;121;3;114;59
Resource 15,13;135;103;94;111;15;60;147;61;44
