resource_name,assignment_ids
Resource 0,29;72;107;157;164;66;111;149;10;98;51;24
Resource 1,45;39;21;88;47;104;43;146;83;148;93;142
Resource 2,159;18;99;140;15;9;14;70;167;38;115
Resource 3,123;158;160;4;153;132;138;63;57;40;22
Resource 4,35;71;0;105;36;16;156;60;175;31;134
Resource 5,69;78;92;76;80;108;170;23;120;67;161
Resource 6,129;165;176;17;151;127;126;27;8;73;169
Resource 7,97;55;89;113;30;152;155;95;33;32;12
Resource 8,54;64;112;174;147;62;56;49;124;96;110
Resource 9,86;6;125;50;82;118;46;177;26;68;143
Resource 10,168;87;2;94;1;42;144;117;85;166;84
Resource 11,128;139;25;61;58;48;20;65;133;101;116
Resource 12,75;137;44;81;173;77;91;121;5;13;171
Resource 13,131;7;130;102;136;141;37;41;11;119;90
Resource 14,53;172;122;74;163;3;52;79;109;154;103
Resource 15,150;100;28;106;114;59;19;145;135;34;162
