resource_name,assignment_ids
Resource 0,75;111;102;119;97;136;101;105;58;168;47;149;166;124
Resource 1,65;63;155;18;1;123;173;77;4;56;159;133;172;40
Resource 2,60;174;134;128;11;46;19;181;135;161;152;21;30;83
Resource 3,44;6;91;71;141;23;24;154;113;34;107;142;20
Resource 4,131;179;36;39;125;130;15;147;8;117;35;82;17
Resource 5,88;114;143;13;104;169;118;151;3;16;90;72;164
Resource 6,74;140;9;167;160;52;115;59;103;73;95;85;41
Resource 7,69;120;25;37;106;80;144;51;87;64;84;122;112
Resource 8,127;66;177;42;98;178;183;153;22;89;32;2;126
Resource 9,145;100;48;10;50;43;157;156;28;78;29;109;180
Resource 10,171;165;14;96;116;175;92;138;53;76;182;176;129
Resource 11,148;62;70;31;5;27;79;150;99;61;38;67;94
Resource 12,158;54;184;139;26;93;108;7;81;86;55;162;163
Resource 13,170;146;33;49;121;45;12;0;137;57;132;110;68
