resource_name,assignment_ids
Resource 0,25;43;177;6;61;137;188;185;99;44;65;182;205
Resource 1,212;97;163;208;153;91;87;64;112;154;140;162
Resource 2,160;126;180;4;158;5;39;196;144;107;120;95
Resource 3,96;47;105;117;79;125;209;159;135;148;103;81
Resource 4,216;210;84;50;57;21;146;82;173;200;85;119
Resource 5,98;152;10;156;38;203;118;165;74;111;133;192
Resource 6,193;62;191;15;198;108;130;71;11;59;26;139
Resource 7,127;86;19;132;16;164;171;42;184;72;169;141
Resource 8,168;124;138;189;48;53;60;58;143;176;174;92
Resource 9,128;211;14;109;202;51;12;115;33;123;131;30
Resource 10,116;161;194;69;94;35;145;80;215;66;89;213
Resource 11,13;55;206;45;7;77;214;150;67;9;195;166
Resource 12,170;78;24;149;70;147;181;207;76;27;121;183
Resource 13,102;90;32;83;22;41;8;134;49;157;34;37
Resource 14,197;28;88;0;122;114;155;52;40;201;142;106
Resource 15,75;68;199;101;175;46;186;31;17;104;113;136
Resource 16,2;93;151;178;204;3;56;36;187;54;1;172
Resource 17,73;29;190;129;18;167;100;20;179;23;110;63
