resource_name,assignment_ids
Resource 0,44;207;102;4;181;22;79;8;166;94;220;184;147;46;109
Resource 1,124;15;83;201;1;111;75;177;105;123;16;23;63;187;162
Resource 2,216;90;199;74;219;179;154;5;141;214;40;9;155;0;76
Resource 3,198;10;65;47;183;140;25;81;66;11;204;158;129;137;131
Resource 4,119;125;42;88;91;26;62;170;122;38;172;160;55;202
Resource 5,210;99;86;180;185;194;106;72;133;144;146;126;192;174
Resource 6,54;107;148;31;110;48;116;37;156;34;153;21;128;169
Resource 7,209;80;151;182;93;85;163;78;114;101;108;71;227;36
Resource 8,73;218;165;70;30;35;14;20;200;29;52;98;45;115
Resource 9,138;211;39;150;17;118;92;186;87;24;139;56;112;149
Resource 10,189;19;95;103;59;58;13;134;69;225;82;60;18;68
Resource 11,223;53;188;205;222;3;175;136;197;67;190;173;217;203
Resource 12,161;224;89;196;50;104;215;152;32;127;221;84;7;117
Resource 13,157;206;28;33;226;100;212;27;77;168;57;159;6;113
Resource 14,145;142;64;143;49;167;193;51;213;61;96;191;195;132
Resource 15,130;12;171;208;97;2;41;43;120;121;178;135;164;176
