resource_name,assignment_ids
Resource 0,123;7;66;8;105;136;169;182;50;6;102;185;114;188;5;127
Resource 1,1;113;30;128;177;219;62;142;37;35;63;85;203;36;222;88
Resource 2,27;143;47;56;130;42;52;82;117;4;217;90;67;170;9;210
Resource 3,65;129;208;75;220;97;161;68;76;19;28;31;38;104;181;79
Resource 4,229;213;15;48;54;159;33;134;149;84;132;215;96;200;11;223
Resource 5,83;227;120;166;26;98;205;151;99;209;24;190;81;160;94
Resource 6,131;153;21;173;202;184;140;198;221;211;124;69;34;164;176
Resource 7,39;45;78;180;16;32;110;163;178;216;204;58;224;17;199
Resource 8,100;80;146;10;46;91;43;171;20;195;138;51;118;197;187
Resource 9,214;135;89;22;12;18;144;183;121;174;49;73;168;152;226
Resource 10,101;14;156;70;53;150;201;126;119;64;111;191;112;86;196
Resource 11,92;154;192;74;228;59;41;225;158;108;148;125;162;0;157
Resource 12,109;175;155;103;60;141;2;93;3;179;167;95;25;55;172
Resource 13,218;115;212;189;61;165;29;13;193;116;133;122;23;186;137
Resource 14,72;194;77;57;40;106;107;147;87;145;44;139;207;206;71
