resource_name,assignment_ids
Resource 0,38;178;48;121;192;102;65;234;196;86;138;25;216;208;93
Resource 1,169;81;214;27;128;200;7;40;174;232;73;223;35;17;148
Resource 2,110;145;34;85;202;164;98;6;9;82;189;80;149;162;72
Resource 3,230;119;29;150;165;183;212;188;228;135;203;109;123;8;205
Resource 4,92;63;217;233;115;101;140;56;179;37;112;14;42;198;103
Resource 5,76;95;74;181;61;211;97;187;213;18;84;136;166;133;222
Resource 6,79;108;58;182;28;231;229;100;113;147;161;176;158;221;130
Resource 7,15;59;54;117;201;209;104;118;26;122;70;199;185;36;134
Resource 8,157;191;151;22;57;105;1;16;75;24;127;51;89;171;168
Resource 9,33;2;210;177;69;107;31;215;96;170;52;111;159;226;0
Resource 10,30;225;12;49;154;3;21;139;184;126;53;50;146;125;71
Resource 11,120;186;218;144;175;87;163;155;13;90;47;23;193;152
Resource 12,129;180;62;124;41;194;206;83;99;224;43;4;88;143
Resource 13,142;173;39;94;204;11;219;153;116;197;137;45;131;5
Resource 14,32;172;19;114;64;132;60;91;190;220;78;195;20;66
Resource 15,156;44;106;160;167;10;227;207;77;67;46;55;68;141
