resource_name,assignment_ids
Resource 0,127;192;69;50;122;11;228;140;130;21;174;81;208;158;162;219;188;187
Resource 1,233;179;180;35;37;131;184;2;68;211;169;170;153;51;214;129;40;137
Resource 2,79;175;41;151;216;92;134;225;36;13;3;32;72;16;168;221;114;128
Resource 3,103;23;201;172;4;189;204;75;31;109;135;195;100;89;14;147;232
Resource 4,49;197;163;202;239;48;176;159;54;58;102;116;120;222;29;53;236
Resource 5,213;142;12;126;84;66;93;59;97;55;144;98;56;80;90;220;104
Resource 6,70;191;165;76;224;138;42;206;235;161;156;167;226;1;47;85;185
Resource 7,61;46;6;229;218;57;240;124;96;157;34;177;181;110;231;9;39
Resource 8,25;94;112;152;95;186;15;22;160;78;123;209;5;73;65;38;136
Resource 9,182;164;183;117;106;0;7;86;205;28;143;198;171;64;18;227;121
Resource 10,82;154;88;105;91;63;149;10;150;83;17;199;87;20;8;200;115
Resource 11,71;207;19;24;99;62;74;60;133;145;67;215;238;118;77;148;178
Resource 12,223;119;212;45;52;194;139;132;237;196;108;210;26;155;217;234;125
Resource 13,141;193;44;101;33;27;166;190;113;173;203;30;43;107;146;230;111
