id,hours,start,duration
0,82,0,8
1,288,0,28
2,401,0,40
3,69,0,6
4,62,0,6
5,64,0,6
6,435,0,43
7,246,0,24
8,150,0,15
9,458,0,45
10,678,0,67
11,84,0,8
12,507,0,50
13,177,0,17
14,71,0,7
15,360,0,36
16,321,0,32
17,592,0,59
18,59,0,5
19,86,0,8
20,254,0,25
21,62,0,6
22,63,0,6
23,69,0,6
24,177,0,17
25,54,0,5
26,51,0,5
27,304,0,30
28,60,0,6
29,386,0,38
30,88,17,8
31,50,6,5
32,86,0,8
33,146,43,14
34,166,0,16
35,51,0,5
36,53,0,5
37,76,5,7
38,72,25,7
39,50,0,5
40,160,8,16
41,55,38,5
42,67,0,6
43,139,0,13
44,58,0,5
45,120,1,12
46,159,8,15
47,160,0,16
48,167,0,16
49,50,0,5
50,64,0,6
51,96,0,9
52,211,0,21
53,82,5,8
54,50,0,5
55,114,0,11
56,79,0,7
57,555,7,55
58,50,0,5
59,52,5,5
60,69,0,6
61,360,0,36
62,134,59,13
63,199,6,19
64,63,0,6
65,687,0,68
66,155,0,15
67,85,0,8
68,90,0,9
69,401,9,40
70,240,49,24
71,183,49,18
72,114,0,11
73,54,0,5
74,100,21,10
75,50,21,5
76,81,17,8
77,50,0,5
78,514,0,51
79,407,0,40
80,71,25,7
81,61,0,6
82,113,30,11
83,108,31,10
84,264,15,26
85,349,15,34
86,165,41,16
87,161,41,16
88,103,0,10
89,144,10,14
90,410,24,41
91,131,16,13
92,90,0,9
93,61,25,6
94,52,31,5
95,56,16,5
96,192,21,19
97,155,21,15
98,51,0,5
99,50,5,5
100,114,16,11
101,68,0,6
102,236,0,23
103,423,32,42
104,56,0,5
105,83,0,8
106,88,5,8
107,189,5,18
108,109,65,10
109,115,41,11
110,130,52,13
111,55,62,5
112,52,0,5
113,111,5,11
114,65,49,6
115,117,25,11
116,72,36,7
117,213,28,21
118,584,49,58
119,52,49,5
120,316,107,31
121,219,138,21
122,117,0,11
123,93,11,9
124,270,24,27
125,51,0,5
126,51,0,5
127,262,0,26
128,123,0,12
129,341,50,34
130,193,57,19
131,57,0,5
132,73,13,7
133,111,20,11
134,152,31,15
135,106,31,10
136,501,41,50
137,1448,31,144
138,52,175,5
139,113,180,11
140,53,191,5
141,240,36,24
142,584,0,58
143,342,0,34
144,102,34,10
145,68,44,6
146,579,50,57
147,50,44,5
148,63,44,6
149,52,107,5
150,70,13,7
151,185,0,18
152,84,0,8
153,72,8,7
154,50,15,5
155,318,20,31
156,301,15,30
157,52,15,5
158,153,5,15
159,1194,0,119
160,446,119,44
161,1542,0,154
162,178,146,17
163,308,0,30
164,94,30,9
165,787,0,78
166,50,60,5
167,50,0,5
168,75,38,7
169,50,74,5
170,126,79,12
171,90,91,9
172,69,0,6
173,116,6,11
174,139,25,13
175,61,0,6
176,70,0,7
177,252,91,25
178,51,0,5
179,291,0,29
180,54,5,5
181,107,33,10
182,195,43,19
183,111,0,11
184,311,11,31
185,50,39,5
186,672,0,67
187,62,67,6
188,152,73,15
189,73,73,7
190,266,80,26
191,347,73,34
192,54,107,5
193,248,88,24
194,50,112,5
195,694,117,69
196,50,181,5
197,55,8,5
198,232,25,23
199,97,48,9
200,128,57,12
201,267,69,26
202,402,95,40
203,317,95,31
204,650,135,65
205,137,200,13
206,281,200,28
207,302,135,30
208,52,95,5
209,363,135,36
210,73,0,7
211,464,7,46
212,98,7,9
213,420,16,42
214,62,126,6
215,126,16,12
216,445,107,44
217,90,151,9
218,295,28,29
219,291,57,29
220,688,57,68
221,400,186,40
222,54,125,5
223,119,191,11
224,129,202,12
225,676,202,67
226,64,202,6
227,202,0,20
228,337,0,33
229,553,180,55
230,85,226,8
231,202,76,20
232,168,191,16
233,523,155,52
234,142,207,14
235,52,221,5
236,420,226,42
237,99,268,9
238,260,277,26
239,69,78,6
240,161,84,16
241,69,84,6
242,72,84,7
243,85,91,8
244,264,99,26
245,167,90,16
246,95,90,9
247,279,151,27
248,72,151,7
249,51,158,5
