resource_name,assignment_ids
Resource 0,159;122;255;216;234;200;238;49;243;63;52;141;177;174;11;86;176
Resource 1,138;212;196;271;8;226;203;62;171;34;15;170;123;178;99;259
Resource 2,89;269;29;172;4;131;22;118;181;153;222;44;100;74;201;84
Resource 3,268;78;150;16;56;35;263;91;93;258;202;46;54;121;76;55
Resource 4,151;105;240;232;205;97;69;126;164;195;155;109;61;249;221;261
Resource 5,248;115;66;247;246;24;77;152;17;40;0;187;23;21;146;130
Resource 6,112;68;37;47;120;211;165;71;209;57;92;208;158;28;67;64
Resource 7,128;108;145;20;188;154;59;41;157;75;135;162;9;147;137;262
Resource 8,239;148;242;95;260;65;87;25;251;81;257;140;219;38;6;134
Resource 9,210;53;32;204;101;160;230;127;185;190;191;267;110;124;79;169
Resource 10,193;229;217;104;161;88;27;175;231;235;144;43;186;168;199;183
Resource 11,241;107;5;39;167;139;117;73;192;149;94;194;70;189;33;218
Resource 12,252;80;132;237;116;184;42;82;50;45;224;12;125;103;214;26
Resource 13,228;19;182;272;225;207;31;85;136;254;215;270;96;233;60;220
Resource 14,72;180;36;198;163;90;264;227;223;1;236;98;102;114;30;206
Resource 15,7;173;256;51;166;213;266;48;245;3;2;113;133;250;129;83
Resource 16,106;14;142;58;119;156;143;10;265;244;111;179;197;18;253;13
