resource_name,assignment_ids
Resource 0,132;209;147;229;130;69;180;195;44;197;218;163;168;275;62;98;161;20;162;114;123;16
Resource 1,106;86;196;188;221;200;194;19;214;184;174;265;10;159;55;139;154;260;66;118;240;72
Resource 2,232;149;13;256;94;93;144;230;185;212;183;276;210;293;239;21;102;204;228;225;43;38
Resource 3,29;8;103;193;206;121;251;179;85;35;131;241;107;11;140;234;238;33;53;253;261
Resource 4,270;129;279;88;48;289;83;199;46;128;12;119;145;157;124;150;105;34;125;115;126
Resource 5,271;120;288;90;290;169;224;285;237;175;73;278;3;244;187;205;273;231;112;235;142
Resource 6,252;24;116;202;267;177;68;207;7;277;65;89;233;9;268;153;27;54;176;245;17
Resource 7,236;52;136;216;2;250;57;266;246;137;165;295;40;219;22;158;152;213;51;282;259
Resource 8,182;45;100;127;23;291;113;91;75;104;243;143;220;95;190;146;201;47;30;5;170
Resource 9,108;71;155;189;67;80;133;37;263;39;141;26;215;280;171;74;58;1;134;59;63
Resource 10,223;122;76;28;287;191;32;101;242;264;87;41;82;4;6;64;99;14;257;18;42
Resource 11,296;110;262;173;156;208;79;81;92;294;25;274;60;269;292;15;227;77;84;286;111
Resource 12,222;117;36;248;181;151;226;186;247;31;172;96;0;203;138;198;255;167;50;178;249
Resource 13,284;283;272;160;135;258;61;148;70;192;254;164;56;211;49;217;281;109;97;166;78
