resource_name,assignment_ids
Resource 0,290;264;75;44;45;284;152;249;245;154;184;228;134;298;52;10;17;299;73
Resource 1,58;195;147;42;307;193;114;131;273;232;157;199;219;235;188;91;38;12;237
Resource 2,115;288;110;0;278;260;109;156;92;295;176;204;104;267;215;20;169;129;196
Resource 3,224;93;303;34;257;67;111;200;142;269;309;275;103;108;2;254;74;86;293
Resource 4,167;261;83;150;145;158;1;69;127;98;229;268;47;233;40;106;117;166
Resource 5,206;94;95;112;225;155;96;31;118;70;253;21;289;79;62;80;240;132
Resource 6,168;194;99;189;7;172;53;174;221;164;202;28;222;151;126;66;81;187
Resource 7,304;280;64;43;15;153;197;102;116;203;296;27;180;271;22;161;277;185
Resource 8,48;247;234;201;54;175;242;11;85;238;211;239;283;41;212;226;78;248
Resource 9,36;123;286;274;107;105;68;213;97;72;9;30;186;182;218;137;223;305
Resource 10,143;163;119;60;227;308;33;24;4;77;217;301;302;141;198;258;160;190
Resource 11,125;84;255;26;207;251;90;5;101;263;57;159;178;243;279;49;133;281
Resource 12,231;6;71;50;18;8;306;285;300;183;35;29;162;179;266;297;149;140
Resource 13,216;177;265;170;100;173;76;244;88;122;56;130;165;59;205;65;136;262
Resource 14,61;32;13;276;171;82;181;192;272;46;148;291;230;16;287;250;39;135
Resource 15,146;87;121;128;63;220;14;282;270;3;292;214;191;138;241;139;144;37
Resource 16,23;256;252;124;209;19;208;120;210;259;55;51;113;246;89;294;25;236
