resource_name,assignment_ids
Resource 0,64;220;147;306;153;46;17;201;318;310;204;185;89;78;151;259;71;292;277;79;91
Resource 1,104;3;162;16;69;188;146;192;57;321;260;319;75;159;322;275;209;34;256;32;166
Resource 2,160;76;241;81;133;131;171;284;238;125;168;52;101;255;155;184;140;243;246;65;29
Resource 3,24;164;289;186;28;224;197;112;280;5;303;312;225;106;178;254;282;73;187;63;31
Resource 4,145;118;302;124;193;115;9;244;66;230;88;247;67;98;215;248;53;167;49;123
Resource 5,25;304;298;130;180;45;72;114;211;142;242;288;94;262;271;283;240;136;117;210
Resource 6,113;176;236;108;317;227;70;226;285;109;44;26;144;68;261;58;84;47;290;121
Resource 7,281;6;2;313;250;202;267;175;12;173;42;22;199;41;234;266;278;154;110;102
Resource 8,189;252;257;105;165;96;20;177;158;200;97;77;297;10;0;54;21;191;90;111
Resource 9,216;18;268;119;62;311;273;126;308;274;212;194;30;299;139;228;83;249;232;87
Resource 10,296;157;237;245;138;205;301;134;4;198;129;293;315;122;307;265;13;14;235;103
Resource 11,116;179;51;295;48;50;213;251;309;195;263;100;181;196;169;258;150;15;1;74
Resource 12,208;233;141;120;36;33;218;170;39;219;270;85;156;82;148;253;320;163;149;19
Resource 13,127;152;172;207;8;239;59;137;40;223;143;279;190;222;174;60;300;276;183;55
Resource 14,231;269;203;272;43;107;161;11;23;61;80;229;182;7;135;286;128;305;37;314
Resource 15,132;35;287;38;316;92;264;27;294;323;217;291;206;221;99;86;93;214;95;56
