resource_name,assignment_ids
Resource 0,342;36;158;198;240;310;275;290;200;206;68;344;25;133;209;315;284;274;11;280
Resource 1,308;169;224;214;126;44;307;163;304;91;77;343;27;254;331;337;285;218;34;259
Resource 2,265;90;324;184;222;95;100;99;70;172;43;296;58;78;317;188;85;117;42;281
Resource 3,142;148;135;273;94;154;270;67;223;80;15;54;176;250;33;125;221;122;232
Resource 4,322;191;243;146;144;287;26;241;162;332;143;272;112;74;197;212;292;325;311
Resource 5,61;220;186;249;291;150;256;268;219;139;239;134;314;60;93;18;97;102;321
Resource 6,98;6;151;141;193;21;96;66;71;205;124;215;336;245;216;305;123;300;2
Resource 7,75;192;246;260;276;149;194;329;269;201;306;340;113;32;4;238;109;264;45
Resource 8,323;73;69;225;101;62;175;159;138;226;104;3;128;180;167;236;228;293;178
Resource 9,22;89;105;37;19;173;72;114;76;64;10;29;204;8;294;242;289;261;326
Resource 10,7;127;38;185;258;334;231;320;286;65;145;189;14;319;237;13;203;211;131
Resource 11,82;288;298;196;49;30;24;103;266;111;110;187;183;283;53;166;132;12;181
Resource 12,9;170;120;263;207;121;56;253;195;282;137;208;17;301;335;5;119;83;156
Resource 13,1;179;229;35;46;251;160;271;107;202;255;81;295;316;174;129;157;267;147
Resource 14,118;168;257;108;50;235;297;244;247;234;338;278;339;279;309;0;92;233;171
Resource 15,31;182;227;16;262;313;40;86;130;213;63;299;48;84;164;47;330;230;88
Resource 16,79;312;277;199;140;333;115;153;39;59;41;51;116;165;57;152;161;28;302
Resource 17,106;177;210;20;155;55;52;303;248;87;23;252;327;217;341;136;190;328;318
