resource_name,assignment_ids
Resource 0,319;104;2;37;259;39;347;271;154;65;46;226;152;334;162;7;215;186;72;16;307;48;140;18;296;94;308;20;242;22
Resource 1,294;312;6;160;257;246;32;137;183;157;213;338;60;327;81;253;141;280;336;144;303;293;243;49;261;156;19;161;116;52
Resource 2,301;84;121;272;24;281;200;185;29;41;120;131;53;11;99;25;265;236;42;191;86;5;268;77;142;170;267;189;342
Resource 3,138;297;114;254;238;132;322;264;149;79;305;56;126;331;325;323;302;348;285;228;90;237;178;167;109;111;118;87;82
Resource 4,247;164;330;233;95;279;244;80;208;290;63;73;27;227;67;245;173;97;344;163;209;34;321;78;136;311;306;239;10
Resource 5,316;251;3;174;130;198;314;54;9;76;212;30;188;182;59;304;282;320;194;44;123;38;103;288;113;266;172;21;276
Resource 6,181;190;258;85;231;345;98;74;45;278;313;204;221;107;234;250;274;289;256;329;145;69;71;222;341;203;112;346;0
Resource 7,220;309;171;133;333;337;47;61;248;31;134;96;146;201;165;287;187;64;299;300;4;328;92;110;197;298;17;75;108
Resource 8,148;68;340;93;127;335;192;324;317;89;128;177;14;66;216;211;193;218;57;129;318;147;35;105;326;205;135;292;58
Resource 9,230;139;275;219;158;224;153;83;166;40;349;286;143;168;260;23;117;315;240;202;252;273;91;339;13;100;269;125;122
Resource 10,26;179;102;283;241;196;184;180;43;175;55;210;101;36;28;214;263;262;115;310;15;70;155;151;159;343;255;277;199
Resource 11,217;119;62;249;206;33;295;223;176;232;124;1;106;284;291;270;195;235;207;50;229;150;169;8;12;88;225;51;332
