resource_name,assignment_ids
Resource 0,18;127;28;61;287;35;304;16;3;136;330;189;317;367;54;59;77;282;40;172;1;190;109;369
Resource 1,226;100;173;299;322;50;82;337;125;75;365;20;289;110;132;88;91;7;150;311;275;66;32;169
Resource 2,38;17;57;15;101;193;111;231;329;73;239;21;285;205;368;170;219;195;307;261;25;130;83;197
Resource 3,214;51;293;274;175;199;255;6;266;124;270;167;69;64;202;273;97;157;321;10;154;244;115;296
Resource 4,251;183;249;252;315;55;153;356;364;216;300;86;95;265;188;47;103;228;11;238;177;357;192;181
Resource 5,165;68;107;279;224;333;243;371;4;128;166;44;93;259;117;171;139;122;137;185;156;178;121
Resource 6,267;370;164;148;316;347;79;8;318;155;281;34;120;292;277;235;112;324;145;5;143;268;113
Resource 7,81;207;99;142;212;146;160;41;43;80;27;276;222;278;63;355;269;204;31;225;140;210;187
Resource 8,350;319;301;60;135;144;19;314;104;159;200;230;180;48;92;260;220;254;123;313;344;98;227
Resource 9,310;358;85;343;341;352;119;12;309;208;56;39;168;14;108;2;297;215;332;141;158;71;211
Resource 10,116;72;24;298;62;52;339;359;213;138;290;303;257;366;336;223;245;328;162;198;338;272;233
Resource 11,308;102;271;354;294;70;176;87;280;288;191;264;186;250;340;65;89;335;306;46;345;240;118
Resource 12,149;126;217;325;84;286;291;334;331;147;232;236;184;67;201;13;234;196;194;114;182;284;94
Resource 13,262;53;106;152;131;58;76;9;253;129;361;209;133;96;323;348;78;45;151;363;346;295;105
Resource 14,42;242;218;206;22;353;26;283;174;305;312;258;342;302;326;320;49;351;90;247;179;163;229
Resource 15,237;37;360;33;30;134;161;246;203;263;29;23;362;36;74;248;372;241;349;221;256;0;327
