resource_name,assignment_ids
Resource 0,244;126;179;31;54;352;197;269;170;232;169;191;141;272;300;121;235;118;285;258;208;277;196;392;405;267;76;93
Resource 1,390;194;251;137;204;140;356;351;217;26;105;240;120;80;91;368;255;382;81;138;294;167;239;33;245;119;6
Resource 2,49;94;87;321;51;236;55;178;248;316;28;84;35;343;192;25;18;282;50;224;185;148;30;348;332;72;135
Resource 3,216;246;395;340;110;161;59;102;211;229;301;206;376;396;184;219;124;7;393;270;187;243;22;163;307;24;366
Resource 4,158;34;73;61;312;156;223;359;171;136;79;71;391;268;46;21;180;154;288;241;341;364;339;131;350;52;175
Resource 5,173;40;65;337;385;404;44;123;14;323;139;249;23;109;346;379;12;302;226;264;367;313;398;83;13;344;201
Resource 6,108;377;214;117;233;310;347;166;263;104;205;5;147;45;283;202;53;329;234;227;354;116;193;265;402;324;394
Resource 7,230;381;261;69;82;168;222;153;152;250;221;274;63;345;151;10;215;17;334;355;129;43;145;387;336;195;68
Resource 8,90;188;297;378;319;298;177;199;259;98;212;74;38;383;335;304;306;0;371;372;386;29;4;322;150;330;155
Resource 9,183;252;286;317;20;373;280;296;122;134;309;289;88;96;325;357;62;342;11;132;375;362;182;338;365;380;127
Resource 10,57;89;287;247;32;70;3;95;276;331;198;200;403;92;99;19;260;142;374;213;113;128;218;384;15;225;107
Resource 11,42;242;327;149;85;67;159;370;361;279;27;293;290;399;41;186;238;172;311;78;58;176;8;220;146;112;9
Resource 12,320;75;284;133;308;231;66;190;305;101;271;299;77;106;114;401;36;358;253;100;16;315;86;115;47;157;48
Resource 13,181;174;295;257;400;164;389;210;292;103;388;2;160;291;254;165;262;363;303;207;60;162;64;314;111;278;328
Resource 14,56;203;39;143;281;144;326;349;228;97;1;333;369;266;209;237;318;353;273;130;397;360;125;275;37;189;256
