resource_name,assignment_ids
Resource 0,99;42;308;171;291;114;36;372;287;21;184;341;39;124;313;352;159;413;242;101;264;248;125
Resource 1,10;240;128;24;209;407;41;131;17;116;188;16;32;221;399;415;296;86;380;168;371;387;23
Resource 2,109;334;323;119;187;416;48;7;298;2;408;137;410;205;73;227;314;11;253;257;317;100;336
Resource 3,292;241;12;82;404;51;13;390;179;312;120;282;115;142;368;146;88;199;20;394;327;246;270
Resource 4,250;355;67;321;273;198;25;261;3;191;398;271;385;40;356;105;268;19;59;91;56;170;203
Resource 5,216;377;324;269;381;126;357;402;389;161;34;359;340;374;75;28;22;213;224;117;349;145
Resource 6,222;166;212;322;83;370;69;299;110;155;72;65;18;330;79;9;328;158;136;414;153;412
Resource 7,315;29;177;354;386;174;331;418;81;192;288;302;211;0;417;278;263;397;348;364;301;285
Resource 8,290;121;384;31;193;319;130;180;196;235;382;360;46;62;108;256;245;307;38;165;52;345
Resource 9,339;70;310;219;223;325;254;190;403;122;333;173;252;103;247;350;47;419;238;279;363;49
Resource 10,172;106;378;362;405;53;375;95;274;178;225;57;286;148;167;228;272;107;45;182;15;66
Resource 11,98;422;294;113;84;90;162;154;217;5;208;373;147;358;388;118;337;379;92;133;275;396
Resource 12,71;342;243;156;140;89;135;277;284;64;68;8;400;111;152;74;343;201;80;58;295;43
Resource 13,102;150;289;305;283;262;97;304;26;318;210;234;27;181;33;169;183;96;160;297;93;197
Resource 14,421;395;189;392;6;112;77;4;206;361;309;134;303;63;393;231;326;293;151;207;332;139
Resource 15,175;233;37;14;94;249;391;244;44;276;366;87;164;61;239;149;185;200;195;280;141;353
Resource 16,281;267;369;351;202;229;344;218;144;300;365;259;251;347;104;50;346;163;132;237;186;420
Resource 17,78;258;255;55;35;411;30;265;311;236;376;266;176;401;157;226;76;367;138;60;127;194
Resource 18,316;220;214;215;54;1;85;383;329;335;232;409;306;230;123;129;143;338;260;320;204;406
