resource_name,assignment_ids
Resource 0,238;170;80;327;254;242;139;297;75;351;1;338;181;133;275;101;48;184;69;269;121;245;43;289;225;318;374;321;284;385;103;398;113;64;104;310;18
Resource 1,279;28;3;114;221;337;9;95;161;141;334;118;331;378;19;190;241;323;427;174;372;361;399;296;260;33;117;236;380;325;148;88;93;168;277;179;291
Resource 2,336;382;349;422;60;270;20;431;10;322;213;36;305;30;356;149;381;198;354;383;162;394;218;107;227;353;261;364;401;135;248;13;71;393;152;122
Resource 3,40;42;49;286;116;215;312;55;387;155;295;266;274;72;188;311;166;340;56;41;233;62;226;128;243;4;412;433;175;308;82;417;280;400;115;285
Resource 4,63;146;292;390;220;153;110;265;32;320;37;50;303;299;255;425;379;429;177;160;271;355;342;335;259;235;416;180;8;44;217;264;251;106;420;317
Resource 5,46;346;329;134;54;424;172;263;35;231;373;173;38;246;157;324;150;12;415;119;182;419;204;224;25;97;358;108;250;187;111;293;244;26;123;326
Resource 6,365;347;144;185;396;192;131;428;256;142;287;206;240;360;404;222;249;314;154;194;195;237;309;191;298;87;278;306;316;281;371;109;140;216;126;288
Resource 7,395;34;239;29;196;151;83;267;389;77;39;59;21;81;212;136;200;17;129;178;124;252;78;45;47;294;402;96;262;61;208;214;403;357;301;132
Resource 8,366;386;375;189;367;268;52;112;234;332;169;11;209;409;105;205;156;407;423;165;89;65;406;426;186;421;368;328;70;272;302;53;362;352;307;98
Resource 9,201;199;127;359;345;247;330;343;219;376;369;147;202;341;84;15;79;339;392;319;350;384;203;230;2;86;370;197;24;232;410;58;229;85;137;304
Resource 10,183;397;363;408;432;391;0;257;73;143;171;102;66;91;130;76;67;158;313;418;377;276;5;145;74;344;27;300;388;210;68;23;57;94;413;193
Resource 11,176;207;7;92;283;348;228;31;253;282;405;211;99;414;16;223;290;167;430;100;14;22;51;159;6;164;258;90;315;125;138;163;120;273;411;333
