resource_name,assignment_ids
Resource 0,61;165;398;417;12;159;43;91;154;175;379;38;404;340;92;367;100;422;65;214;143;261;351;57;123
Resource 1,291;29;385;264;299;272;401;357;73;347;396;248;247;86;141;44;278;207;427;416;281;191;42;235;390
Resource 2,163;177;276;289;332;354;302;361;71;287;429;335;126;58;386;421;25;24;400;268;181;109;209;242;157
Resource 3,222;77;430;194;270;132;119;1;189;425;34;230;192;99;233;94;410;286;75;365;45;378;334;384;324
Resource 4,271;113;59;81;303;413;147;110;333;320;238;217;138;41;331;294;6;428;98;184;225;409;306;231;145
Resource 5,93;17;260;405;56;137;314;54;305;142;10;279;178;128;173;342;166;327;140;374;185;330;205;39
Resource 6,241;149;215;408;352;167;317;70;127;162;325;424;316;197;249;114;343;74;243;66;210;397;322;136
Resource 7,403;298;290;5;50;273;383;253;394;227;188;88;282;22;277;190;388;169;293;432;176;32;391;60
Resource 8,355;236;387;259;372;116;358;284;14;2;418;362;40;377;311;412;382;252;419;68;89;414;315;436
Resource 9,144;101;339;172;224;131;37;151;23;111;321;78;292;102;312;371;258;115;296;11;104;152;348;67
Resource 10,381;122;130;356;219;97;174;229;103;364;198;369;53;62;393;72;158;399;49;170;433;183;55;201
Resource 11,250;360;380;338;213;434;263;346;245;402;18;87;179;323;90;283;344;415;161;9;228;112;85;411
Resource 12,153;27;328;366;64;186;202;389;171;370;80;182;30;267;300;368;187;269;106;211;129;307;108;308
Resource 13,63;349;26;244;46;160;280;232;135;95;395;133;337;4;21;200;363;199;318;7;341;48;234;373
Resource 14,420;155;223;237;47;76;406;266;345;150;407;251;180;120;28;226;33;96;36;309;193;254;216;423
Resource 15,31;146;220;3;195;105;304;69;431;139;375;285;326;125;134;107;353;212;319;15;118;218;20;435
Resource 16,275;329;35;350;117;16;124;297;156;288;203;295;148;196;257;240;392;246;164;376;121;19;310;262
Resource 17,13;239;274;221;359;208;256;301;336;82;313;265;84;0;255;79;168;8;52;83;204;426;51;206
