resource_name,assignment_ids
Resource 0,307;212;236;128;198;131;73;275;359;283;80;42;320;21;326;168;370;143;277;418;171;316;322;428;87;288;261;60;79;443;54;95;211;1;64;203;206;114
Resource 1,30;376;176;167;37;285;125;242;216;93;395;14;282;207;385;94;263;416;259;266;315;218;89;199;51;222;146;245;402;434;249;269;296;426;375;132;24;174
Resource 2,85;165;317;7;32;310;287;357;144;272;437;36;406;374;175;188;342;189;69;420;185;150;361;422;433;225;396;68;28;256;90;306;364;53;111;371;414
Resource 3,166;123;341;251;419;40;70;305;227;224;247;8;192;321;369;210;102;368;349;52;331;255;345;379;380;308;161;439;274;152;17;184;22;181;134;265;353
Resource 4,273;35;233;408;104;170;5;220;244;415;0;314;109;113;82;154;74;56;6;151;405;286;435;182;39;119;88;276;164;290;117;303;108;386;226;49;43
Resource 5,183;223;347;367;231;318;248;333;55;16;399;339;9;281;77;75;358;366;178;325;313;413;350;301;45;425;177;297;398;100;235;340;355;289;362;352;126
Resource 6,412;337;112;163;240;444;421;99;149;319;253;196;445;377;58;230;159;401;197;92;160;257;246;229;47;106;13;190;50;191;25;382;103;344;15;397;187
Resource 7,157;120;84;279;10;343;31;417;436;324;440;81;118;214;205;300;141;147;122;336;208;139;335;153;65;346;71;351;204;241;280;162;304;33;430;195;23
Resource 8,3;29;254;105;136;393;394;201;373;202;133;332;390;387;267;48;356;200;431;410;140;372;234;44;41;38;83;148;327;34;66;404;115;46;237;363;173
Resource 9,96;219;72;193;258;110;129;12;328;180;2;107;291;11;20;334;217;271;97;411;278;309;360;312;292;61;194;243;338;213;392;238;299;239;260;381;67
Resource 10,62;78;169;391;311;365;429;330;252;142;384;389;438;441;59;155;4;98;27;172;179;26;423;91;262;135;323;130;329;302;388;158;127;424;407;403;442
Resource 11,270;116;19;294;186;101;232;76;348;409;121;57;427;138;124;86;400;298;18;293;432;264;209;221;63;268;228;378;284;137;145;295;156;250;215;383;354
