resource_name,assignment_ids
Resource 0,281;153;149;159;249;119;140;447;92;87;300;354;455;359;62;301;17;420;424;10;328;314;333;127;37;88;168;185;372;260;158;184;75;7;394;48;0;290;63;148;4;212;414
Resource 1,231;192;61;355;243;86;302;186;151;67;296;353;49;407;427;244;99;348;266;30;430;21;173;263;233;410;22;210;71;91;319;122;369;352;429;417;442;229;8;213;370;102
Resource 2,129;305;450;45;437;360;432;194;316;107;413;170;339;160;93;202;445;403;363;284;113;346;72;28;57;82;259;380;257;248;434;147;356;255;389;145;269;386;388;275;252;373
Resource 3,199;19;142;357;230;20;235;349;40;171;117;167;94;97;2;419;141;137;80;223;294;182;371;295;152;365;193;169;23;367;396;324;251;293;35;303;81;232;279;125;32;196
Resource 4,337;280;425;336;236;338;245;391;299;409;15;308;220;155;382;350;188;433;377;13;453;461;441;462;197;268;12;277;139;200;264;297;207;58;84;110;96;227;218;76;130;392
Resource 5,179;68;219;41;115;362;438;261;56;31;108;1;292;342;163;18;307;347;101;256;38;111;11;436;238;443;128;358;240;327;415;100;79;408;136;112;162;105;325;451;397;361
Resource 6,459;135;323;274;195;198;309;288;74;189;78;176;318;6;456;400;191;345;36;83;33;312;282;387;146;343;25;250;14;258;26;50;368;66;204;208;47;267;246;418;401;454
Resource 7,291;120;224;331;340;416;335;406;181;242;272;121;161;440;165;118;228;421;53;306;458;315;42;310;395;271;217;209;174;24;383;457;226;273;5;278;54;104;222;166;134;317
Resource 8,85;375;247;89;34;221;98;178;428;426;422;287;3;157;334;322;177;385;64;126;206;390;289;90;73;239;9;172;326;398;156;59;286;254;329;449;16;133;313;183;29;351
Resource 9,341;444;381;95;201;109;132;69;431;321;330;214;164;435;320;439;270;234;460;298;241;55;43;143;378;77;154;283;46;304;423;187;366;131;211;180;276;116;253;379;150;39
Resource 10,446;52;225;411;237;65;44;216;103;332;262;393;448;404;412;344;376;51;311;374;402;203;114;265;399;124;215;364;405;190;123;205;452;144;27;175;106;138;285;70;60;384
