resource_name,assignment_ids
Resource 0,411;405;333;239;155;249;293;92;172;307;461;42;51;430;181;329;78;407;190;246;337;300;108;86;227;89
Resource 1,322;455;362;104;254;75;387;348;265;150;174;269;228;36;319;188;223;226;442;336;140;437;141;388;256;408
Resource 2,196;47;176;283;323;211;422;257;53;434;346;398;90;271;131;454;170;245;97;14;453;103;351;175;156
Resource 3,366;476;165;40;399;270;80;244;236;48;253;363;276;457;124;101;185;326;74;335;233;383;200;189;302
Resource 4,325;168;374;177;215;301;173;221;305;450;406;199;204;280;113;314;425;105;30;286;394;268;261;217;403
Resource 5,91;62;33;433;259;292;149;58;208;232;151;372;3;243;182;93;157;202;414;367;210;279;64;460;164
Resource 6,114;152;220;212;195;381;120;179;158;241;313;347;331;277;154;299;409;379;41;135;288;238;327;159;27
Resource 7,429;127;358;77;162;32;436;29;119;427;341;16;180;133;459;262;134;24;146;67;231;130;275;278;209
Resource 8,184;352;118;428;54;76;2;34;6;284;349;102;98;295;413;65;111;395;474;5;264;311;354;463;391
Resource 9,28;438;35;169;423;380;350;8;475;393;420;448;303;345;230;237;63;144;330;355;291;198;191;59;121
Resource 10,446;338;192;458;100;441;22;267;61;19;375;109;418;60;88;225;328;126;310;70;353;31;214;15;139
Resource 11,147;371;274;316;266;56;234;145;443;424;197;297;468;194;18;95;432;370;389;21;55;1;298;106;378
Resource 12,129;12;229;342;87;255;166;258;110;272;219;153;439;273;160;462;359;294;340;467;137;20;0;397;471
Resource 13,402;206;183;473;419;369;290;263;250;384;377;235;417;49;260;320;364;334;447;373;115;426;203;38;282
Resource 14,240;309;7;205;37;167;470;186;25;117;26;382;312;285;96;148;39;318;193;365;125;315;287;222;251
Resource 15,357;81;385;452;69;45;163;123;308;344;472;304;396;218;421;361;445;23;469;85;57;412;71;242;321
Resource 16,252;44;416;52;187;10;368;456;83;68;122;449;247;289;464;451;171;296;11;178;13;161;435;82;376
Resource 17,128;281;324;444;107;390;50;356;466;43;9;401;213;400;465;99;17;136;46;66;386;94;224;72;132
Resource 18,201;79;360;415;143;317;84;216;248;343;142;404;138;4;392;440;116;431;410;207;73;332;112;339;306
