resource_name,assignment_ids
Resource 0,47;112;435;292;319;252;223;69;276;123;268;384;148;0;373;377;78;172;341;271;267;374;226;53;317;37;54;143;296;382;279;238;302;469;417
Resource 1,361;418;141;1;159;175;23;355;258;118;251;444;96;260;192;304;429;12;167;230;424;76;478;58;248;197;113;422;250;82;353;161;153;87;346
Resource 2,439;301;244;300;289;174;74;65;385;263;338;199;308;326;430;457;16;137;297;79;265;64;401;142;130;60;154;119;202;324;99;33;43;474;343
Resource 3,185;92;77;309;144;272;305;156;52;254;222;330;101;437;287;117;214;262;473;111;88;243;191;34;41;463;368;90;233;196;24;135;229;40
Resource 4,48;398;131;75;241;125;109;348;277;369;303;150;4;124;364;201;126;363;205;461;286;221;145;110;218;386;427;138;333;323;217;20;61;379
Resource 5,310;295;448;288;245;465;275;354;411;19;7;399;464;409;392;459;299;321;445;270;72;380;454;451;436;139;446;80;151;235;240;313;378;393
Resource 6,182;114;366;184;403;314;166;441;293;442;89;312;95;345;68;347;44;220;83;460;208;8;181;261;146;231;375;71;412;351;163;349;431;209
Resource 7,237;370;149;195;358;27;120;475;14;210;81;390;342;59;177;405;281;49;306;211;253;389;32;359;39;318;219;13;449;471;357;157;259;283
Resource 8,256;477;408;383;187;170;38;106;278;420;26;400;194;434;158;246;93;133;91;327;107;414;31;329;203;207;402;11;339;443;470;152;213;206
Resource 9,395;320;282;388;224;171;453;17;239;227;176;29;186;198;164;188;28;316;273;290;433;247;307;147;415;376;325;66;162;21;447;291;280;423
Resource 10,381;70;36;183;55;2;102;334;10;22;228;257;455;332;63;365;178;193;73;344;407;367;335;406;94;249;352;311;190;452;298;397;285;432
Resource 11,322;242;35;467;179;284;97;9;212;104;266;337;45;336;371;108;115;129;180;419;410;6;264;315;416;450;86;84;440;50;294;466;476;204
Resource 12,232;67;340;426;391;236;189;362;128;331;30;18;200;356;103;350;328;421;56;173;165;62;136;168;25;428;100;234;462;255;456;225;215;413
Resource 13,155;127;160;121;116;372;105;134;51;132;46;98;216;57;169;42;85;438;396;472;5;394;387;468;425;269;274;404;15;458;140;360;3;122
