resource_name,assignment_ids
Resource 0,43;232;423;247;242;133;352;338;424;117;123;233;285;177;184;276;53;200;474;391;418;478;98;244;311;252;206;452;45;6;250;201;287
Resource 1,410;222;384;226;86;234;308;114;457;170;61;282;444;404;268;334;275;451;298;54;330;231;39;399;165;66;363;88;439;164;81;106
Resource 2,401;70;440;5;283;371;301;22;96;152;239;370;263;34;237;55;162;253;376;0;261;459;75;378;293;346;443;224;383;319;124;202
Resource 3,323;151;243;236;321;315;353;422;208;44;450;229;367;461;4;79;288;317;464;125;230;316;204;254;173;128;3;176;90;49;214;186
Resource 4,381;181;455;255;92;188;83;259;333;175;429;47;149;168;417;142;145;58;185;84;291;335;172;267;347;373;52;93;380;146;433;398
Resource 5,9;163;403;415;48;30;480;46;31;411;207;11;463;467;166;182;127;25;78;465;436;407;351;257;82;223;453;290;426;69;16;421
Resource 6,87;40;113;97;102;437;405;344;134;111;368;249;137;377;20;101;160;10;419;479;392;427;240;156;258;325;446;387;304;342;324;402
Resource 7,366;7;130;14;360;218;475;265;108;357;21;428;153;225;118;280;179;235;264;434;297;313;126;438;295;63;354;329;314;364;388;456
Resource 8,135;306;27;13;238;171;29;159;355;60;425;454;278;131;245;12;413;472;37;260;122;310;286;414;212;174;477;339;155;217;147;241
Resource 9,442;460;269;350;2;121;205;68;72;271;289;277;430;372;28;150;256;445;112;91;191;362;365;262;169;312;458;104;213;115;416;107
Resource 10,449;409;274;183;1;17;331;322;109;394;193;89;50;8;129;302;448;132;76;209;158;42;358;356;468;62;412;119;73;307;167;397
Resource 11,340;374;345;303;473;120;116;57;369;382;65;103;441;296;395;95;219;189;136;337;385;197;251;19;408;216;190;26;199;431;36;396
Resource 12,341;85;74;220;80;281;379;41;24;196;18;246;192;348;105;336;284;375;292;187;273;332;211;215;59;466;138;64;318;294;266;393
Resource 13,143;32;77;435;386;203;227;420;56;144;462;154;300;327;35;67;71;349;110;178;390;361;99;195;198;139;221;194;328;180;210;51
Resource 14,100;309;299;359;470;400;305;148;389;38;279;140;33;228;141;343;94;476;15;157;161;447;272;270;326;23;320;406;432;471;248;469
