resource_name,assignment_ids
Resource 0,67;175;226;453;247;412;458;214;464;114;225;347;450;320;3;76;56;276;216;312;415;165;371;463;372;466;345;395;138;293;444
Resource 1,365;250;251;32;117;358;86;315;381;379;194;285;323;387;134;342;210;394;294;456;385;360;203;307;355;474;359;434;480;17
Resource 2,260;23;14;256;163;202;42;472;423;143;382;48;257;162;140;297;255;184;102;448;118;426;445;344;338;11;475;8;127;266
Resource 3,429;228;161;288;454;451;208;467;5;459;190;43;85;24;217;80;306;227;88;149;427;457;268;66;377;418;304;432;263;284
Resource 4,441;254;279;182;356;235;287;424;137;198;148;211;240;151;31;18;115;282;53;139;158;310;62;34;419;230;131;51;222;357
Resource 5,221;479;341;398;9;416;253;335;420;374;75;465;150;301;57;142;74;283;296;155;333;430;316;0;462;125;26;378;384;267
Resource 6,13;135;375;71;406;281;393;36;242;249;16;168;411;70;192;262;437;337;391;193;331;351;219;176;383;264;363;170;6;403
Resource 7,245;396;470;476;173;322;366;368;159;231;319;455;275;280;300;166;119;440;373;361;100;21;47;40;146;400;461;348;244;154
Resource 8,408;38;35;269;111;124;473;392;90;152;77;436;156;50;177;84;389;107;174;120;105;291;199;10;112;96;65;213;311;308
Resource 9,183;121;94;46;334;104;305;181;123;54;61;309;97;12;243;60;399;438;30;83;130;68;277;110;278;410;218;390;431;98
Resource 10,298;179;223;204;272;153;58;20;15;64;425;229;402;439;93;265;449;273;350;188;145;167;196;367;186;25;122;189;401;39
Resource 11,7;147;349;290;318;346;232;27;321;328;433;82;129;248;169;246;29;200;468;324;233;157;292;299;252;271;49;336;201;108
Resource 12,364;295;132;164;404;73;478;28;236;369;171;286;353;239;92;330;220;72;261;89;87;212;237;101;313;340;362;78;187;442
Resource 13,414;144;325;469;388;172;241;289;141;238;405;428;44;2;302;327;215;178;446;37;224;209;99;136;343;133;380;234;128;91
Resource 14,259;258;109;197;206;314;22;195;386;303;4;435;69;417;421;33;160;409;55;113;471;116;397;443;19;352;354;452;326;339
Resource 15,41;59;376;95;207;79;413;185;106;191;447;274;270;81;180;460;407;126;205;422;477;1;52;63;332;329;370;103;45;317
