resource_name,assignment_ids
Resource 0,158;149;474;339;64;355;91;450;249;275;267;27;85;426;191;160;130;117;441;442;409;34;157;225;333;280;352;187;194;406;304;361;38;237;334;52
Resource 1,307;154;206;186;285;24;483;370;195;390;213;133;139;101;261;413;451;378;33;340;341;204;45;314;136;31;287;177;329;346;452;148;60;436;465;487
Resource 2,153;164;184;55;490;457;375;209;468;357;393;351;400;208;123;25;424;15;122;460;348;477;371;422;330;319;183;427;416;311;79;176;399;95;358
Resource 3,240;166;462;163;29;227;484;87;201;141;226;364;4;217;246;32;320;278;92;476;362;170;328;14;284;128;388;165;382;111;40;214;109;142;408
Resource 4,447;13;423;57;257;83;268;425;37;404;135;210;397;412;2;305;385;94;396;56;482;415;196;273;360;140;159;300;97;63;473;405;461;106;389
Resource 5,21;266;271;475;110;221;189;144;16;134;274;17;411;36;264;70;437;326;93;418;479;327;260;379;100;107;380;466;80;222;218;272;245;10;105
Resource 6,288;162;90;403;129;5;443;478;67;414;354;42;137;190;99;381;138;102;488;428;373;53;30;46;3;86;49;23;47;270;35;402;365;26;283
Resource 7,377;6;453;207;421;420;228;244;41;384;359;9;445;344;367;202;290;169;315;291;429;172;456;463;193;289;61;366;242;322;345;376;0;276;65
Resource 8,181;20;146;299;175;7;152;256;265;126;143;238;151;323;369;432;115;66;77;296;363;295;50;205;113;241;401;232;156;491;73;51;277;178;180
Resource 9,419;236;150;386;255;198;269;387;395;469;263;454;58;96;161;293;458;11;174;179;248;434;114;124;168;233;349;258;374;435;312;321;119;72;215
Resource 10,192;145;98;259;188;318;112;459;211;199;131;294;167;325;433;368;298;75;127;147;71;279;200;383;467;108;347;394;132;310;481;252;430;292;342
Resource 11,250;223;121;239;12;59;84;331;44;197;486;171;116;282;407;444;82;18;253;251;489;81;62;39;243;234;76;309;43;410;235;229;203;338;182
Resource 12,297;88;120;313;118;350;438;485;247;104;440;28;303;464;316;417;68;356;212;254;302;343;317;281;372;74;431;336;231;103;219;392;216;335;286
Resource 13,308;446;173;1;455;230;324;54;449;332;480;353;8;471;89;78;398;224;48;337;472;262;22;301;306;185;155;19;439;220;391;125;448;69;470
