resource_name,assignment_ids
Resource 0,34;380;348;127;22;457;433;113;26;171;353;156;165;47;393;223;115;87;475;293;74;94;138;235;118;266;297;335;25;408;372;202
Resource 1,132;237;159;158;337;491;406;424;81;469;304;175;480;133;249;460;315;41;181;6;199;147;478;95;196;198;492;38;214;431;299
Resource 2,240;155;494;120;35;309;381;263;441;129;359;207;474;70;180;18;160;434;317;208;162;56;330;310;248;161;312;241;292;484;33
Resource 3,486;417;482;449;67;322;1;375;49;225;368;493;68;308;195;83;291;13;328;24;319;456;153;405;443;90;144;116;360;300;495
Resource 4,142;444;151;377;236;398;472;124;334;71;409;415;329;432;400;439;259;318;232;20;30;44;239;58;8;265;200;437;442;140;476
Resource 5,268;422;188;82;92;401;473;425;378;51;205;72;63;347;213;42;220;445;93;141;440;0;288;361;246;402;154;463;55;316;470
Resource 6,59;333;301;62;454;490;219;211;451;224;369;108;201;189;184;130;4;250;252;183;12;264;218;386;46;269;275;458;274;177;397
Resource 7,352;60;374;79;169;320;204;27;53;84;388;173;366;242;326;387;227;271;342;350;100;321;452;139;45;286;254;364;119;373;282
Resource 8,178;416;284;338;481;170;489;336;323;77;65;412;137;75;80;256;229;313;298;215;314;367;414;453;61;273;32;394;134;421;244
Resource 9,222;339;357;272;98;29;36;128;362;28;243;112;429;306;97;228;257;106;176;125;391;52;477;462;305;96;126;459;10;69;396
Resource 10,370;270;418;260;146;344;438;14;148;285;435;262;185;150;166;193;261;164;107;346;182;48;209;143;363;351;234;483;21;365;187
Resource 11,78;186;86;307;356;340;430;303;121;114;15;17;392;465;5;39;179;109;296;99;11;19;281;379;101;371;157;302;325;104;389
Resource 12,203;461;66;289;206;210;343;76;233;163;135;395;423;341;91;279;411;496;131;85;174;245;467;468;167;149;9;54;455;471;267
Resource 13,123;277;384;226;383;145;399;136;192;354;355;287;117;212;64;488;280;466;283;420;290;331;255;376;217;122;426;464;191;410;231
Resource 14,448;111;105;358;332;247;216;230;446;390;278;436;88;382;407;479;23;197;194;295;403;7;89;428;190;404;50;324;40;276;327
Resource 15,16;450;258;419;172;102;152;31;413;238;2;43;251;427;37;221;73;103;385;253;168;311;3;110;487;345;57;447;485;349;294
