resource_name,assignment_ids
Resource 0,60;36;23;11;8;77
Resource 1,4;32;44;14;64;88
Resource 2,87;49;72;0;1
Resource 3,47;31;81;48;41
Resource 4,54;21;82;57;25
Resource 5,65;30;66;90;62
Resource 6,43;7;83;59;91
Resource 7,6;15;73;18;55
Resource 8,63;19;42;46;51
Resource 9,10;45;58;17;22
Resource 10,37;61;95;85;69
Resource 11,84;33;52;94;75
Resource 12,34;35;9;86;39
Resource 13,92;3;76;53;24
Resource 14,74;56;20;70;12
Resource 15,79;13;80;89;93
Resource 16,2;27;40;26;38
Resource 17,29;71;67;68;5
Resource 18,16;96;50;28;78
