id,hours,start,duration
0,145,0,14
1,52,0,5
2,77,0,7
3,50,5,5
4,259,10,25
5,52,0,5
6,96,5,9
7,58,0,5
8,245,0,24
9,300,0,30
10,154,0,15
11,89,0,8
12,514,0,51
13,66,51,6
14,97,0,9
15,189,9,18
16,270,0,27
17,104,0,10
18,415,0,41
19,71,7,7
20,98,0,9
21,239,9,23
22,65,9,6
23,180,0,18
24,127,0,12
25,541,0,54
26,138,24,13
27,80,37,8
28,80,35,8
29,406,35,40
30,314,43,31
31,100,74,10
32,94,0,9
33,446,9,44
34,454,0,45
35,371,0,37
36,87,37,8
37,54,0,5
38,416,5,41
39,206,0,20
40,102,0,10
41,287,0,28
42,277,15,27
43,82,46,8
44,50,54,5
45,327,41,32
46,84,73,8
47,226,41,22
48,492,84,49
49,112,0,11
50,237,11,23
51,74,34,7
52,206,81,20
53,62,101,6
54,55,107,5
55,396,107,39
56,63,146,6
57,70,0,7
58,106,0,10
59,133,54,13
60,50,0,5
61,58,5,5
62,50,5,5
63,267,0,26
64,73,10,7
65,212,37,21
66,174,17,17
67,60,146,6
68,61,112,6
69,223,10,22
70,74,32,7
71,72,10,7
72,57,0,5
73,89,152,8
74,60,7,6
75,67,13,6
76,63,19,6
77,56,14,5
78,239,19,23
79,74,0,7
80,236,61,23
81,103,84,10
82,572,94,57
83,978,84,97
84,54,84,5
85,52,94,5
86,168,99,16
87,61,181,6
88,69,99,6
89,160,0,16
90,83,27,8
91,489,133,48
92,80,24,8
93,129,32,12
94,50,27,5
95,50,32,5
96,82,32,8
97,161,16,16
98,933,57,93
99,291,32,29
