predecessor_id,successor_id,type
0,20,3
38,67,3
58,86,0
72,74,1
70,76,3
70,71,1
70,73,1
3,98,3
1,87,1
24,26,1
24,70,0
2,69,1
2,3,1
2,49,3
4,21,0
5,53,1
6,78,1
6,18,1
60,61,1
16,97,1
7,86,1
8,70,0
68,96,1
68,69,1
9,56,1
10,12,0
11,39,1
26,83,1
69,70,3
47,50,1
47,48,1
47,49,1
43,61,3
12,43,1
12,66,0
13,89,1
14,33,1
14,44,1
14,56,1
15,16,0
17,80,1
94,95,1
48,91,1
54,55,0
54,70,1
19,39,1
49,52,1
20,76,0
20,34,3
51,86,1
55,56,1
62,64,1
62,93,1
62,63,1
62,80,1
62,85,1
22,92,1
23,24,1
23,25,1
27,43,0
27,30,1
50,51,1
28,94,1
29,39,3
31,71,1
32,59,3
71,72,1
34,35,1
35,49,1
36,50,1
37,38,1
39,83,3
61,62,1
40,75,1
41,45,1
42,43,3
44,86,3
44,45,1
74,75,1
98,99,0
81,88,1
46,47,0
53,54,1
57,58,1
96,97,1
76,84,1
59,60,1
65,67,1
67,68,1
77,78,1
79,82,0
80,81,1
82,83,1
85,96,1
86,92,1
87,94,1
97,98,1
89,90,1
93,96,1
93,94,1
