assignments,constraints,relation_constraints,resource_constraints,date_constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,algorithm,mu,lambda_,cxpb,mutpb,repair_pct,mate_indpb,mutate_mu,mutate_sigma,mutate_indpb
133,155,136,19,0,172.0,247,0.0,239,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
133,155,136,19,0,172.0,247,0.0,244,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
133,155,136,19,0,172.0,247,0.0,257,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
398,679,678,1,0,45642.0,363,7525.0,750,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
167,260,256,4,0,902.0,548,0.0,590,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
250,279,278,1,0,32953.0,303,9503.0,569,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
250,279,278,1,0,32953.0,303,8480.0,584,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
250,279,278,1,0,32953.0,303,9223.0,548,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
189,309,301,8,0,176.0,282,0.0,371,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
189,309,301,8,0,176.0,282,0.0,355,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
189,309,301,8,0,176.0,282,0.0,365,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
178,281,265,16,0,0.0,228,0.0,291,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
178,281,265,16,0,0.0,228,0.0,264,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
178,281,265,16,0,0.0,228,0.0,302,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
97,155,144,11,0,0.0,292,0.0,227,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
97,155,144,11,0,0.0,292,0.0,238,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
97,155,144,11,0,0.0,292,0.0,235,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
179,303,285,18,0,0.0,534,0.0,516,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
179,303,285,18,0,0.0,534,0.0,522,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
179,303,285,18,0,0.0,534,0.0,515,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
114,193,184,9,0,0.0,196,0.0,256,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
114,193,184,9,0,0.0,196,0.0,238,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
114,193,184,9,0,0.0,196,0.0,201,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
291,526,521,5,0,4715.0,373,0.0,541,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
291,526,521,5,0,4715.0,373,0.0,561,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
291,526,521,5,0,4715.0,373,0.0,582,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
467,525,514,11,0,5237.0,412,0.0,443,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
467,525,514,11,0,5237.0,412,0.0,483,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
467,525,514,11,0,5237.0,412,0.0,454,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
31,65,46,19,0,0.0,194,0.0,72,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
31,65,46,19,0,0.0,194,0.0,65,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
31,65,46,19,0,0.0,194,0.0,76,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
32,41,32,9,0,0.0,81,0.0,67,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
32,41,32,9,0,0.0,81,0.0,59,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
32,41,32,9,0,0.0,81,0.0,54,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
336,379,376,3,0,23135.0,469,38.0,625,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
336,379,376,3,0,23135.0,469,24.0,622,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
15,19,16,3,0,0.0,117,0.0,40,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
15,19,16,3,0,0.0,117,0.0,28,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
15,19,16,3,0,0.0,117,0.0,31,MuPlusLambda,200.0,200.0,0.5,0.5,1.0,0.5,0.0,2.0,0.5
