assignments,relation_constraints,resource_constraints,date_constraints,constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,algorithm,repair_pct,mu
133,136,19,0,155,172,247,179,224,FixerOnly,1.0,200
133,136,19,0,155,172,247,67,214,FixerOnly,1.0,200
133,136,19,0,155,172,247,153,275,FixerOnly,1.0,200
398,678,1,0,679,45642,363,35670,488,FixerOnly,1.0,200
398,678,1,0,679,45642,363,35944,460,FixerOnly,1.0,200
398,678,1,0,679,45642,363,36333,540,FixerOnly,1.0,200
167,256,4,0,260,902,548,2605,360,FixerOnly,1.0,200
167,256,4,0,260,902,548,2612,390,FixerOnly,1.0,200
167,256,4,0,260,902,548,2434,452,FixerOnly,1.0,200
250,278,1,0,279,32953,303,28513,331,FixerOnly,1.0,200
250,278,1,0,279,32953,303,28649,333,FixerOnly,1.0,200
250,278,1,0,279,32953,303,28354,323,FixerOnly,1.0,200
189,301,8,0,309,176,282,916,398,FixerOnly,1.0,200
189,301,8,0,309,176,282,980,380,FixerOnly,1.0,200
189,301,8,0,309,176,282,835,398,FixerOnly,1.0,200
178,265,16,0,281,0,228,442,248,FixerOnly,1.0,200
178,265,16,0,281,0,228,550,351,FixerOnly,1.0,200
178,265,16,0,281,0,228,446,324,FixerOnly,1.0,200
97,144,11,0,155,0,292,16,311,FixerOnly,1.0,200
97,144,11,0,155,0,292,54,253,FixerOnly,1.0,200
97,144,11,0,155,0,292,25,343,FixerOnly,1.0,200
179,285,18,0,303,0,534,49,404,FixerOnly,1.0,200
179,285,18,0,303,0,534,76,393,FixerOnly,1.0,200
179,285,18,0,303,0,534,107,447,FixerOnly,1.0,200
114,184,9,0,193,0,196,38,318,FixerOnly,1.0,200
114,184,9,0,193,0,196,70,257,FixerOnly,1.0,200
114,184,9,0,193,0,196,62,312,FixerOnly,1.0,200
291,521,5,0,526,4715,373,8235,386,FixerOnly,1.0,200
291,521,5,0,526,4715,373,8208,440,FixerOnly,1.0,200
291,521,5,0,526,4715,373,8297,415,FixerOnly,1.0,200
