algorithm,mu,lambda_,cxpb,mutpb,repair_pct,mate_indpb,mutate_mu,mutate_sigma,mutate_indpb,assignments,constraints,relation_constraints,resource_constraints,date_constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,phi1,phi2,smin,smax,weight,mut_std,mut_indpb,mut_prob,temp,alpha
MuPlusLambda,143.0,278.0,0.11,0.89,0.2,0.23,0.0,1.15,0.53,100,122,110,12,0,0,187,0.0,274,,,,,,,,,,
ParticleSwarm,77.0,,,,0.28,,,,,100,122,110,12,0,0,187,0.0,414,5.24,6.04,-0.26,0.26,0.32,,,,,
PlantPropagation,159.0,271.0,,,0.89,,,,,100,122,110,12,0,0,187,0.0,282,,,,,,1.36,0.83,,,
PlantPropagation,169.0,122.0,,,0.87,,,,,100,122,110,12,0,0,187,0.0,289,,,,,,1.43,0.54,,,
StochasticHillClimb,49.0,,,,0.96,,,,,100,122,110,12,0,0,187,0.0,240,,,,,,1.63,,0.62,,
ParticleSwarm,261.0,,,,0.69,,,,,100,122,110,12,0,0,187,0.0,209,0.63,8.76,-1.78,1.78,0.89,,,,,
SimulatedAnnealing,48.0,,,,0.23,,,,,100,122,110,12,0,0,187,0.0,367,,,,,,0.34,,0.21,115.57,0.82
PlantPropagation,189.0,238.0,,,0.01,,,,,100,122,110,12,0,0,187,634.0,272,,,,,,1.41,0.53,,,
StochasticHillClimb,29.0,,,,0.39,,,,,100,122,110,12,0,0,187,6.0,352,,,,,,0.4,,0.42,,
PlantPropagation,36.0,250.0,,,0.34,,,,,100,122,110,12,0,0,187,1.0,301,,,,,,0.85,0.93,,,
ParticleSwarm,239.0,,,,0.82,,,,,100,122,110,12,0,0,187,0.0,291,0.14,3.89,-0.3,0.3,0.33,,,,,
MuPlusLambda,225.0,148.0,0.94,0.06000000000000005,0.85,0.84,0.0,0.37,0.6,100,122,110,12,0,0,187,0.0,224,,,,,,,,,,
MuPlusLambda,207.0,226.0,0.79,0.20999999999999996,0.71,0.16,0.0,1.96,0.17,100,122,110,12,0,0,187,0.0,206,,,,,,,,,,
SimulatedAnnealing,12.0,,,,0.48,,,,,100,122,110,12,0,0,187,0.0,300,,,,,,0.74,,0.12,128.9,0.93
MuPlusLambda,110.0,65.0,0.43,0.5700000000000001,0.27,0.34,0.0,0.68,0.18,100,122,110,12,0,0,187,0.0,215,,,,,,,,,,
PlantPropagation,66.0,103.0,,,0.77,,,,,100,122,110,12,0,0,187,7.0,258,,,,,,0.51,0.33,,,
MuPlusLambda,207.0,71.0,0.0,1.0,0.21,0.36,0.0,1.06,0.72,100,122,110,12,0,0,187,0.0,224,,,,,,,,,,
StochasticHillClimb,18.0,,,,0.32,,,,,100,122,110,12,0,0,187,0.0,322,,,,,,0.32,,0.09,,
SimulatedAnnealing,33.0,,,,0.38,,,,,100,122,110,12,0,0,187,0.0,330,,,,,,0.68,,0.72,13.08,0.81
MuPlusLambda,142.0,75.0,0.45,0.55,0.35,0.98,0.0,1.32,0.78,100,122,110,12,0,0,187,0.0,243,,,,,,,,,,
ParticleSwarm,22.0,,,,0.88,,,,,100,122,110,12,0,0,187,0.0,137,9.17,3.24,-1.99,1.99,0.53,,,,,
MuPlusLambda,10.0,47.0,0.15,0.85,0.91,0.78,0.0,1.53,0.37,100,122,110,12,0,0,187,0.0,206,,,,,,,,,,
SimulatedAnnealing,7.0,,,,0.12,,,,,100,122,110,12,0,0,187,0.0,494,,,,,,1.51,,0.53,3.08,0.91
SimulatedAnnealing,17.0,,,,0.7,,,,,100,122,110,12,0,0,187,0.0,241,,,,,,0.95,,0.15,184.52,0.8
MuPlusLambda,55.0,27.0,0.06,0.94,0.83,0.81,0.0,0.47,0.49,100,122,110,12,0,0,187,0.0,227,,,,,,,,,,
SimulatedAnnealing,28.0,,,,0.54,,,,,100,122,110,12,0,0,187,0.0,359,,,,,,0.88,,0.97,120.95,0.95
ParticleSwarm,198.0,,,,0.67,,,,,100,122,110,12,0,0,187,0.0,375,3.0,4.93,-0.28,0.28,0.45,,,,,
MuPlusLambda,114.0,297.0,0.63,0.37,0.98,0.99,0.0,1.14,0.33,100,122,110,12,0,0,187,0.0,239,,,,,,,,,,
PlantPropagation,66.0,132.0,,,0.25,,,,,100,122,110,12,0,0,187,8.0,293,,,,,,0.78,0.4,,,
StochasticHillClimb,40.0,,,,0.14,,,,,100,122,110,12,0,0,187,0.0,302,,,,,,1.92,,0.74,,
SimulatedAnnealing,40.0,,,,0.79,,,,,100,122,110,12,0,0,187,0.0,300,,,,,,1.02,,0.53,114.94,0.95
StochasticHillClimb,4.0,,,,0.31,,,,,100,122,110,12,0,0,187,0.0,206,,,,,,0.91,,0.58,,
MuPlusLambda,230.0,283.0,0.35,0.65,0.47,0.9,0.0,0.84,0.41,100,122,110,12,0,0,187,0.0,233,,,,,,,,,,
SimulatedAnnealing,29.0,,,,0.87,,,,,100,122,110,12,0,0,187,0.0,282,,,,,,1.47,,0.09,66.17,0.93
StochasticHillClimb,46.0,,,,0.37,,,,,100,122,110,12,0,0,187,0.0,355,,,,,,0.2,,0.31,,
StochasticHillClimb,36.0,,,,0.6,,,,,100,122,110,12,0,0,187,0.0,275,,,,,,1.17,,0.85,,
MuPlusLambda,142.0,238.0,0.05,0.95,0.72,0.38,0.0,0.94,0.79,100,122,110,12,0,0,187,0.0,209,,,,,,,,,,
MuPlusLambda,101.0,184.0,0.79,0.20999999999999996,0.32,0.86,0.0,0.4,0.54,100,122,110,12,0,0,187,0.0,186,,,,,,,,,,
SimulatedAnnealing,15.0,,,,0.96,,,,,100,122,110,12,0,0,187,0.0,332,,,,,,0.7,,0.89,85.71,0.92
StochasticHillClimb,6.0,,,,0.02,,,,,100,122,110,12,0,0,187,0.0,147,,,,,,1.87,,0.1,,
ParticleSwarm,115.0,,,,0.11,,,,,100,122,110,12,0,0,187,0.0,167,4.08,1.63,-1.69,1.69,0.99,,,,,
StochasticHillClimb,50.0,,,,0.03,,,,,100,122,110,12,0,0,187,0.0,261,,,,,,1.04,,0.81,,
ParticleSwarm,147.0,,,,0.32,,,,,100,122,110,12,0,0,187,0.0,261,4.79,8.33,-0.58,0.58,0.78,,,,,
MuPlusLambda,128.0,156.0,0.28,0.72,0.45,0.29,0.0,1.92,0.38,100,122,110,12,0,0,187,0.0,212,,,,,,,,,,
PlantPropagation,44.0,158.0,,,0.84,,,,,100,122,110,12,0,0,187,0.0,273,,,,,,1.45,0.42,,,
StochasticHillClimb,9.0,,,,0.77,,,,,100,122,110,12,0,0,187,0.0,211,,,,,,0.54,,0.94,,
ParticleSwarm,231.0,,,,0.05,,,,,100,122,110,12,0,0,187,0.0,422,3.69,9.59,-0.28,0.28,0.13,,,,,
StochasticHillClimb,39.0,,,,0.16,,,,,100,122,110,12,0,0,187,0.0,276,,,,,,0.88,,0.47,,
ParticleSwarm,234.0,,,,0.48,,,,,100,122,110,12,0,0,187,0.0,236,7.68,6.61,-1.33,1.33,0.18,,,,,
StochasticHillClimb,11.0,,,,0.67,,,,,100,122,110,12,0,0,187,0.0,298,,,,,,1.24,,0.02,,
SimulatedAnnealing,39.0,,,,0.89,,,,,100,122,110,12,0,0,187,0.0,324,,,,,,0.9,,0.86,177.92,0.81
MuPlusLambda,252.0,266.0,0.97,0.030000000000000027,0.49,0.8,0.0,1.99,0.24,100,122,110,12,0,0,187,0.0,212,,,,,,,,,,
ParticleSwarm,38.0,,,,0.84,,,,,100,122,110,12,0,0,187,0.0,258,6.13,6.59,-0.92,0.92,0.52,,,,,
StochasticHillClimb,28.0,,,,0.89,,,,,100,122,110,12,0,0,187,2.0,338,,,,,,0.38,,0.74,,
